date,post_type,likes,comments,shares
30/04/2026,Video,16,2,1
19/04/2026,Video,12,0,1
26/03/2026,Video,16,0,2
28/04/2025,Video,35,2,9
26/04/2025,Video,15,1,1
25/04/2025,Video,19,1,3
27/02/2025,Video,24,1,4
20/02/2025,Video,13,0,2
06/02/2025,Video,13,1,2
05/02/2025,Video,18,1,2
29/01/2025,Video,5,0,0
04/01/2025,Video,14,2,1
26/12/2024,Video,9,0,2
25/12/2024,Video,6,0,0
09/12/2024,Video,9,0,1
05/12/2024,Video,11,0,2
04/12/2024,Video,10,0,2
03/12/2024,Video,11,0,3
26/11/2024,Video,15,0,1
19/11/2024,Video,16,2,2
13/11/2024,Video,12,0,2
11/11/2024,Video,10,0,0
08/11/2024,Video,15,0,1
31/10/2024,Video,8,0,0
29/10/2024,Video,11,0,0
22/10/2024,Video,10,2,1
21/10/2024,Video,9,0,0
17/10/2024,Video,12,0,1
15/10/2024,Video,6,0,2
13/10/2024,Video,7,0,3
12/10/2024,Video,36,5,18
10/10/2024,Video,11,1,2
08/10/2024,Video,11,0,2
01/10/2024,Video,7,0,3
25/09/2024,Video,11,0,0
24/09/2024,Video,13,0,2
21/10/2024,Video,21,1,5
20/10/2024,Video,10,1,1
19/10/2024,Video,22,1,3
