date,post_type,likes,comments,shares
30/08/2026,video,165,4,8
03/08/2026,Picture Carousel,24,0,0
03/08/2026,Video,62,3,12
17/07/2026,Video,42,2,5
29/05/2026,Picture Carousel,19,2,2
29/05/2026,Video Carousel,13,0,1
29/05/2026,Picture Carousel,43,3,3
29/05/2026,Video Carousel,28,0,1
09/05/2026,Picture Carousel,52,0,4
09/05/2026,Picture Carousel,45,3,6
02/05/2026,Picture Carousel,29,0,12
25/04/2026,Picture Carousel,31,0,0
06/04/2026,Picture Carousel,13,1,2
04/04/2026,Picture Carousel,32,0,2
04/04/2026,Picture Carousel,92,0,66
31/03/2026,Picture Carousel,19,0,6
31/03/2026,Picture Carousel,47,0,21
21/03/2026,Picture Carousel,55,1,10
19/03/2026,Video,23,1,7
03/03/2026,Picture Carousel,43,3,3
28/02/2026,Picture Carousel,49,1,7
24/02/2026,Video,27,0,5
06/02/2026,Picture Carousel,16,0,4
02/02/2026,Picture Carousel,9,0,0
31/01/2026,Picture Carousel,27,0,10
31/01/2026,Picture Carousel,20,0,0
29/01/2026,Video,14,1,1
29/01/2026,Picture,20,0,3
17/01/2026,Picture Carousel,26,0,0
15/01/2026,Picture Carousel,17,0,1
01/01/2026,Picture Carousel,38,1,4
01/01/2026,Carousel,14,0,0
19/12/2025,Picture Carousel,19,0,2
11/12/2025,Picture Carousel,27,0,4
11/12/2025,Video,30,0,5
11/12/2025,Video,22,3,1
20/11/2025,Picture Carousel,30,1,5
12/11/2025,Picture Carousel,31,0,5
22/10/2025,Video,30,0,6
,,,,
