date,post_type,caption,reach,impressions,likes,comments,shares,saves,profile_visits,new_followers,engagements,engagement_rate_pct
2026-04-01,Reel,3 ways to style one statement piece,2430,3016,125,9,20,5,25,3,159,6.54
2026-04-03,Story,Which colour would you pick?,1436,1845,45,2,5,4,8,1,56,3.9
2026-04-05,Photo,"One piece, three moods",1020,1289,27,1,3,1,4,1,32,3.14
2026-04-07,Carousel,This week's style guide,1930,2597,112,4,15,13,18,3,144,7.46
2026-04-09,Reel,A closer look at the details,4441,6232,199,6,31,14,30,2,250,5.63
2026-04-11,Reel,3 ways to style one statement piece,5434,6285,362,14,48,20,84,11,444,8.17
2026-04-13,Reel,Behind the scenes at the studio,2279,3463,144,6,19,17,31,4,186,8.16
2026-04-15,Story,New stock just landed,1335,2014,42,2,3,3,9,1,50,3.75
2026-04-17,Carousel,This week's style guide,2770,3896,117,4,19,11,14,1,151,5.45
2026-04-19,Photo,A little detail goes a long way,1877,2678,57,2,8,3,9,1,70,3.73
2026-04-21,Reel,3 ways to style one statement piece,4007,5662,253,7,24,16,39,8,300,7.49
2026-04-23,Story,Which colour would you pick?,1895,2657,56,3,6,4,8,1,69,3.64
2026-04-25,Photo,"One piece, three moods",1498,2286,71,5,6,2,18,2,84,5.61
2026-04-27,Reel,New drop: made for Lagos days,2559,3337,196,8,14,18,52,9,236,9.22
2026-04-29,Reel,A closer look at the details,2421,3379,175,5,20,22,44,7,222,9.17
2026-05-01,Reel,3 ways to style one statement piece,2664,3376,223,17,36,29,49,7,305,11.45
2026-05-03,Reel,Behind the scenes at the studio,3662,5239,292,24,27,22,38,6,365,9.97
2026-05-05,Carousel,Details you might have missed,2349,3211,96,6,5,4,22,2,111,4.73
2026-05-07,Carousel,This week's style guide,2427,3538,86,5,5,3,16,2,99,4.08
2026-05-09,Reel,A closer look at the details,5172,7966,343,15,52,23,67,6,433,8.37
2026-05-11,Carousel,5 ways to wear your favourite piece,2597,3411,127,4,10,12,29,5,153,5.89
2026-05-13,Reel,Behind the scenes at the studio,3526,4917,258,10,24,29,31,2,321,9.1
2026-05-15,Reel,What your outfit says before you speak,4036,5406,210,11,23,12,39,5,256,6.34
2026-05-17,Reel,New drop: made for Lagos days,4919,5745,331,21,38,41,78,8,431,8.76
2026-05-19,Carousel,From sketch to finished piece,2569,2981,121,10,15,9,27,3,155,6.03
2026-05-21,Photo,The new look is here,2283,2978,101,8,7,4,12,1,120,5.26
2026-05-23,Reel,Behind the scenes at the studio,3906,4603,180,14,9,21,29,2,224,5.73
2026-05-25,Carousel,Details you might have missed,3010,4517,220,16,19,12,51,9,267,8.87
2026-05-27,Carousel,This week's style guide,2447,3178,143,6,24,17,29,5,190,7.76
2026-05-29,Reel,A closer look at the details,3251,4912,193,15,17,25,36,2,250,7.69
2026-05-31,Carousel,5 ways to wear your favourite piece,2712,4150,138,9,14,9,23,4,170,6.27
2026-06-02,Reel,Behind the scenes at the studio,4064,5957,206,11,11,19,38,7,247,6.08
2026-06-04,Reel,What your outfit says before you speak,2607,3147,157,10,9,7,34,3,183,7.02
2026-06-06,Story,Ask us anything,2083,2463,52,4,5,4,13,2,65,3.12
2026-06-08,Story,Packing today's orders,1226,1791,33,1,5,1,6,1,40,3.26
2026-06-10,Photo,The new look is here,1605,1922,45,3,6,4,12,1,58,3.61
2026-06-12,Reel,Behind the scenes at the studio,4519,5601,293,7,51,12,80,12,363,8.03
2026-06-14,Reel,What your outfit says before you speak,3809,5177,232,16,25,23,50,10,296,7.77
2026-06-16,Photo,Today's look,3622,4567,94,5,9,9,12,2,117,3.23
2026-06-18,Carousel,From sketch to finished piece,1490,2198,87,3,14,10,25,4,114,7.65
2026-06-20,Reel,3 ways to style one statement piece,2605,3967,242,6,12,18,58,12,278,10.67
2026-06-22,Carousel,How to build a simple wardrobe,2616,3406,133,10,21,11,26,3,175,6.69
2026-06-24,Reel,What your outfit says before you speak,3392,4944,237,19,19,20,32,6,295,8.7
2026-06-26,Story,Ask us anything,1252,1776,39,1,2,4,7,1,46,3.67
2026-06-28,Reel,A closer look at the details,4741,6498,280,22,28,14,33,6,344,7.26
2026-06-30,Photo,The new look is here,3040,3754,103,2,9,10,18,2,124,4.08
2026-07-02,Reel,Behind the scenes at the studio,3179,4309,234,11,30,29,68,6,304,9.56
2026-07-04,Carousel,Details you might have missed,2909,3645,165,14,18,12,36,4,209,7.18
2026-07-06,Carousel,This week's style guide,2725,3331,107,8,11,11,16,1,137,5.03
2026-07-08,Reel,A closer look at the details,2753,3263,114,6,8,8,22,3,136,4.94
2026-07-10,Story,Quick studio update,1542,2312,52,1,4,6,12,1,63,4.09
2026-07-12,Photo,"Made in Lagos, worn everywhere",1750,2351,53,2,5,6,6,1,66,3.77
2026-07-14,Story,New stock just landed,1980,2682,58,1,6,5,9,1,70,3.54
2026-07-16,Story,Ask us anything,1603,2049,37,1,2,4,7,1,44,2.74
2026-07-18,Carousel,From sketch to finished piece,2976,3525,199,12,29,16,28,3,256,8.6
2026-07-20,Story,Quick studio update,2361,3254,47,4,6,2,6,1,59,2.5
2026-07-22,Reel,Behind the scenes at the studio,2943,3604,136,4,22,6,28,3,168,5.71
2026-07-24,Reel,What your outfit says before you speak,4424,6619,286,11,20,30,77,12,347,7.84
2026-07-26,Reel,New drop: made for Lagos days,2225,3243,117,5,12,10,18,1,144,6.47
2026-07-28,Reel,A closer look at the details,2324,3212,125,7,14,5,21,2,151,6.5
2026-07-30,Reel,3 ways to style one statement piece,4734,5926,263,19,33,22,50,6,337,7.12
2026-08-01,Reel,Behind the scenes at the studio,4207,5143,189,13,23,23,28,5,248,5.89
2026-08-03,Photo,"One piece, three moods",1726,2098,65,4,7,4,16,2,80,4.63
2026-08-05,Reel,New drop: made for Lagos days,3359,4369,236,10,34,21,38,7,301,8.96
2026-08-07,Reel,A closer look at the details,5104,7720,206,6,35,21,38,3,268,5.25
2026-08-09,Carousel,5 ways to wear your favourite piece,3170,4321,239,18,16,17,36,6,290,9.15
2026-08-11,Reel,Behind the scenes at the studio,3707,5393,229,10,35,11,60,5,285,7.69
2026-08-13,Photo,"One piece, three moods",3062,3704,87,6,12,9,21,3,114,3.72
2026-08-15,Reel,New drop: made for Lagos days,3295,4028,179,11,18,15,49,4,223,6.77
2026-08-17,Story,Packing today's orders,1749,2439,58,4,9,5,14,2,76,4.35
2026-08-19,Photo,The new look is here,1726,2382,70,3,10,9,20,2,92,5.33
2026-08-21,Reel,Behind the scenes at the studio,8401,11001,406,18,62,16,70,9,502,5.98
2026-08-23,Reel,What your outfit says before you speak,4652,5994,246,17,26,15,46,4,304,6.53
2026-08-25,Photo,Today's look,2167,2855,73,3,9,7,9,1,92,4.25
2026-08-27,Photo,A little detail goes a long way,2020,2391,73,4,9,3,17,1,89,4.41
2026-08-29,Photo,The new look is here,2368,2903,66,3,8,3,16,2,80,3.38
2026-08-31,Photo,"Made in Lagos, worn everywhere",979,1282,43,1,3,5,11,1,52,5.31
2026-09-02,Reel,What your outfit says before you speak,4730,6212,161,5,23,17,20,2,206,4.36
2026-09-04,Reel,New drop: made for Lagos days,5149,5961,191,14,13,20,29,2,238,4.62
2026-09-06,Reel,A closer look at the details,4730,7058,263,13,35,15,44,9,326,6.89
2026-09-08,Story,Quick studio update,1997,2633,52,4,4,3,9,1,63,3.15
2026-09-10,Carousel,How to build a simple wardrobe,3550,4663,142,7,12,19,35,3,180,5.07
2026-09-12,Reel,What your outfit says before you speak,4208,6344,334,17,17,22,65,10,390,9.27
2026-09-14,Reel,New drop: made for Lagos days,3006,4460,196,11,14,13,22,4,234,7.78
2026-09-16,Reel,A closer look at the details,4032,5078,196,13,30,11,24,2,250,6.2
2026-09-18,Reel,3 ways to style one statement piece,6749,9556,425,35,44,33,86,7,537,7.96
2026-09-20,Photo,"Made in Lagos, worn everywhere",2600,3076,85,3,8,5,14,2,101,3.88
2026-09-22,Carousel,Details you might have missed,3428,4594,136,11,19,8,17,1,174,5.08
2026-09-24,Story,Ask us anything,1585,2137,46,2,6,2,5,1,56,3.53
2026-09-26,Carousel,From sketch to finished piece,5714,7564,249,19,38,27,43,6,333,5.83
2026-09-28,Reel,3 ways to style one statement piece,2974,4511,131,11,14,7,26,5,163,5.48
2026-09-30,Photo,"Made in Lagos, worn everywhere",2865,4049,125,10,10,11,19,4,156,5.45
2026-10-02,Photo,"One piece, three moods",2887,3528,110,9,5,12,17,3,136,4.71
2026-10-04,Carousel,This week's style guide,4068,6052,183,14,10,18,27,2,225,5.53
2026-10-06,Photo,A little detail goes a long way,2445,3144,89,2,8,8,22,2,107,4.38
